Geographic Area,Daily Cases,Total  Confirmed Cases,Recovered by Region,Still infectious by Region,Number of Deaths,Date
COMMUNITY OF ORCUTT,3,233.0,223.0,6.0,4.0,"August 14, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",6,292.0,278.0,11.0,3.0,"August 14, 2020"
Out of County,,,0.0,0.0,0.0,"August 14, 2020"
Pending,23,298.0,265.0,33.0,,"August 14, 2020"
Total**,137,7274.0,6907.0,290.0,77.0,"August 14, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",0,165.0,156.0,3.0,6.0,"August 13, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,14,942.0,898.0,37.0,7.0,"August 13, 2020"
CITY OF GOLETA,3,172.0,164.0,5.0,3.0,"August 13, 2020"
COMMUNITY OF ISLA VISTA,9,103.0,86.0,17.0,0.0,"August 13, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,0,125.0,119.0,5.0,1.0,"August 13, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",4,85.0,75.0,8.0,2.0,"August 13, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,7,542.0,517.0,18.0,7.0,"August 13, 2020"
FEDERAL PRISON IN LOMPOC,0,1019.0,1016.0,0.0,3.0,"August 13, 2020"
CITY OF SANTA MARIA,28,3199.0,3073.0,86.0,40.0,"August 13, 2020"
COMMUNITY OF ORCUTT,2,229.0,219.0,7.0,3.0,"August 13, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",2,287.0,277.0,7.0,3.0,"August 13, 2020"
Out of County,,,0.0,0.0,0.0,"August 13, 2020"
Pending,6,280.0,266.0,14.0,,"August 13, 2020"
Total**,75,7148.0,6866.0,207.0,75.0,"August 13, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",0,166.0,153.0,7.0,6.0,"August 12, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,2,929.0,884.0,38.0,7.0,"August 12, 2020"
CITY OF GOLETA,0,169.0,159.0,7.0,3.0,"August 12, 2020"
COMMUNITY OF ISLA VISTA,1,97.0,83.0,14.0,0.0,"August 12, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,0,125.0,116.0,8.0,1.0,"August 12, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",1,81.0,74.0,5.0,2.0,"August 12, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,3,536.0,506.0,23.0,7.0,"August 12, 2020"
FEDERAL PRISON IN LOMPOC,0,1019.0,1016.0,0.0,3.0,"August 12, 2020"
CITY OF SANTA MARIA,2,3175.0,3030.0,106.0,39.0,"August 12, 2020"
COMMUNITY OF ORCUTT,1,227.0,214.0,10.0,3.0,"August 12, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",2,285.0,271.0,12.0,2.0,"August 12, 2020"
Out of County,,,0.0,0.0,0.0,"August 12, 2020"
Pending,4,274.0,255.0,19.0,,"August 12, 2020"
Total**,16*,7083.0,6761.0,249.0,73.0,"August 12, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",0,168.0,156.0,2.0,5.0,"August 11, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,13,928.0,867.0,54.0,7.0,"August 11, 2020"
CITY OF GOLETA,1,170.0,153.0,14.0,3.0,"August 11, 2020"
COMMUNITY OF ISLA VISTA,2,96.0,76.0,20.0,0.0,"August 11, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,2,125.0,115.0,9.0,1.0,"August 11, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,80.0,74.0,4.0,2.0,"August 11, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,5,533.0,496.0,30.0,7.0,"August 11, 2020"
