Geographic Area,Daily Cases,Total  Confirmed Cases,Recovered by Region,Still infectious by Region,Number of Deaths,Date
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",23,511.0,436.0,68.0,7.0,"December 31, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,87,2760.0,2412.0,330.0,18.0,"December 31, 2020"
CITY OF GOLETA,38,766.0,643.0,117.0,6.0,"December 31, 2020"
COMMUNITY OF ISLA VISTA,6,663.0,639.0,23.0,1.0,"December 31, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,14,543.0,473.0,65.0,5.0,"December 31, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",8,426.0,364.0,54.0,8.0,"December 31, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,58,1831.0,1683.0,135.0,13.0,"December 31, 2020"
FEDERAL PRISON IN LOMPOC,0,1039.0,1034.0,1.0,4.0,"December 31, 2020"
CITY OF SANTA MARIA,98,6452.0,5956.0,415.0,81.0,"December 31, 2020"
COMMUNITY OF ORCUTT,20,867.0,780.0,78.0,9.0,"December 31, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",14,708.0,652.0,48.0,8.0,"December 31, 2020"
Out of County,,,,,,"December 31, 2020"
Pending,30,825.0,703.0,122.0,0.0,"December 31, 2020"
Total** ,396,17391.0,15775.0,1456.0,160.0,"December 31, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",15,488.0,434.0,47.0,7.0,"December 30, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,66,2673.0,2416.0,240.0,17.0,"December 30, 2020"
CITY OF GOLETA,22,728.0,637.0,85.0,6.0,"December 30, 2020"
COMMUNITY OF ISLA VISTA,2,658.0,639.0,18.0,1.0,"December 30, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,11,529.0,462.0,62.0,5.0,"December 30, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",8,421.0,370.0,43.0,8.0,"December 30, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,19,1773.0,1674.0,87.0,12.0,"December 30, 2020"
FEDERAL PRISON IN LOMPOC,0,1039.0,1035.0,0.0,4.0,"December 30, 2020"
CITY OF SANTA MARIA,85,6359.0,5902.0,377.0,80.0,"December 30, 2020"
COMMUNITY OF ORCUTT,10,847.0,769.0,69.0,9.0,"December 30, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",15,694.0,645.0,41.0,8.0,"December 30, 2020"
Out of County,,,,,,"December 30, 2020"
Pending,27,799.0,699.0,100.0,0.0,"December 30, 2020"
Total** ,280,17008.0,15682.0,1169.0,157.0,"December 30, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",16,474.0,423.0,44.0,7.0,"December 29, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,45,2607.0,2344.0,246.0,17.0,"December 29, 2020"
CITY OF GOLETA,15,706.0,609.0,91.0,6.0,"December 29, 2020"
COMMUNITY OF ISLA VISTA,6,656.0,632.0,23.0,1.0,"December 29, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,20,518.0,448.0,66.0,4.0,"December 29, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",9,413.0,357.0,48.0,8.0,"December 29, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,19,1754.0,1650.0,92.0,12.0,"December 29, 2020"
FEDERAL PRISON IN LOMPOC,1,1039.0,1034.0,1.0,4.0,"December 29, 2020"
CITY OF SANTA MARIA,75,6274.0,5782.0,412.0,80.0,"December 29, 2020"
COMMUNITY OF ORCUTT,16,838.0,755.0,74.0,9.0,"December 29, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",14,678.0,638.0,32.0,8.0,"December 29, 2020"
Out of County,,,,,,"December 29, 2020"
Pending,20,775.0,677.0,98.0,0.0,"December 29, 2020"
Total** ,256,16732.0,15349.0,1227.0,156.0,"December 29, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",4,458.0,419.0,32.0,7.0,"December 28, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,62,2561.0,2316.0,230.0,16.0,"December 28, 2020"
CITY OF GOLETA,14,691.0,602.0,83.0,6.0,"December 28, 2020"
COMMUNITY OF ISLA VISTA,2,651.0,627.0,22.0,1.0,"December 28, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,12,498.0,438.0,56.0,4.0,"December 28, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",7,404.0,352.0,44.0,8.0,"December 28, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,14,1735.0,1638.0,85.0,12.0,"December 28, 2020"
FEDERAL PRISON IN LOMPOC,0,1038.0,1034.0,0.0,4.0,"December 28, 2020"
CITY OF SANTA MARIA,66,6199.0,5754.0,366.0,79.0,"December 28, 2020"
COMMUNITY OF ORCUTT,13,822.0,744.0,70.0,8.0,"December 28, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",2,664.0,635.0,21.0,8.0,"December 28, 2020"
Out of County,,,,,,"December 28, 2020"
Pending,18,755.0,660.0,95.0,0.0,"December 28, 2020"
Total** ,214,16476.0,15219.0,1104.0,153.0,"December 28, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,454.0,419.0,28.0,7.0,"December 27, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,24,2499.0,2274.0,210.0,16.0,"December 27, 2020"
CITY OF GOLETA,6,677.0,583.0,88.0,6.0,"December 27, 2020"
COMMUNITY OF ISLA VISTA,0,649.0,623.0,24.0,1.0,"December 27, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,2,486.0,426.0,56.0,4.0,"December 27, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",11,397.0,344.0,45.0,8.0,"December 27, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,11,1721.0,1600.0,109.0,12.0,"December 27, 2020"
FEDERAL PRISON IN LOMPOC,0,1038.0,1034.0,0.0,4.0,"December 27, 2020"
CITY OF SANTA MARIA,86,6134.0,5694.0,361.0,79.0,"December 27, 2020"
COMMUNITY OF ORCUTT,20,809.0,726.0,75.0,8.0,"December 27, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",8,662.0,631.0,23.0,8.0,"December 27, 2020"
Out of County,,,,,,"December 27, 2020"
Pending,13,739.0,640.0,99.0,0.0,"December 27, 2020"
Total** ,182,16265.0,14994.0,1118.0,153.0,"December 27, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",5,453.0,414.0,32.0,7.0,"December 26, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,29,2475.0,2230.0,230.0,16.0,"December 26, 2020"
CITY OF GOLETA,17,671.0,570.0,95.0,6.0,"December 26, 2020"
COMMUNITY OF ISLA VISTA,2,649.0,618.0,29.0,1.0,"December 26, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,8,484.0,414.0,66.0,4.0,"December 26, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",3,386.0,334.0,44.0,8.0,"December 26, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,13,1710.0,1574.0,124.0,12.0,"December 26, 2020"
FEDERAL PRISON IN LOMPOC,0,1038.0,1034.0,0.0,4.0,"December 26, 2020"
CITY OF SANTA MARIA,54,6048.0,5618.0,351.0,79.0,"December 26, 2020"
COMMUNITY OF ORCUTT,6,789.0,714.0,67.0,8.0,"December 26, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",0,654.0,623.0,23.0,8.0,"December 26, 2020"
Out of County,,,,,,"December 26, 2020"
Pending,16,726.0,623.0,103.0,0.0,"December 26, 2020"
Total** ,153,16083.0,14766.0,1164.0,153.0,"December 26, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",8,448.0,407.0,34.0,7.0,"December 25, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,59,2447.0,2186.0,246.0,15.0,"December 25, 2020"
CITY OF GOLETA,20,654.0,553.0,95.0,6.0,"December 25, 2020"
COMMUNITY OF ISLA VISTA,7,647.0,613.0,33.0,1.0,"December 25, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,10,476.0,408.0,64.0,4.0,"December 25, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",5,383.0,324.0,51.0,8.0,"December 25, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,24,1697.0,1551.0,135.0,11.0,"December 25, 2020"
FEDERAL PRISON IN LOMPOC,0,1038.0,1034.0,0.0,4.0,"December 25, 2020"
CITY OF SANTA MARIA,96,5994.0,5550.0,365.0,79.0,"December 25, 2020"
COMMUNITY OF ORCUTT,23,783.0,696.0,79.0,8.0,"December 25, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",7,654.0,615.0,31.0,8.0,"December 25, 2020"
Out of County,,,,,,"December 25, 2020"
Pending,16,710.0,604.0,106.0,0.0,"December 25, 2020"
Total** ,275,15931.0,14541.0,1239.0,151.0,"December 25, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",11,440.0,396.0,37.0,7.0,"December 24, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,36,2388.0,2134.0,239.0,15.0,"December 24, 2020"
CITY OF GOLETA,19,635.0,532.0,97.0,6.0,"December 24, 2020"
COMMUNITY OF ISLA VISTA,6,640.0,607.0,32.0,1.0,"December 24, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,7,466.0,395.0,67.0,4.0,"December 24, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",11,378.0,316.0,54.0,8.0,"December 24, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,18,1672.0,1516.0,145.0,11.0,"December 24, 2020"
FEDERAL PRISON IN LOMPOC,0,1038.0,1034.0,0.0,4.0,"December 24, 2020"
CITY OF SANTA MARIA,102,5898.0,5442.0,377.0,79.0,"December 24, 2020"
COMMUNITY OF ORCUTT,9,761.0,681.0,72.0,8.0,"December 24, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",6,647.0,605.0,34.0,8.0,"December 24, 2020"
Out of County,,,,,,"December 24, 2020"
Pending,15,694.0,577.0,117.0,0.0,"December 24, 2020"
Total** ,240,15657.0,14235.0,1271.0,151.0,"December 24, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",4,429.0,390.0,32.0,7.0,"December 23, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,54,2352.0,2083.0,254.0,15.0,"December 23, 2020"
CITY OF GOLETA,16,616.0,525.0,85.0,6.0,"December 23, 2020"
COMMUNITY OF ISLA VISTA,6,634.0,601.0,32.0,1.0,"December 23, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,17,459.0,387.0,68.0,4.0,"December 23, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",7,367.0,310.0,49.0,8.0,"December 23, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,18,1654.0,1484.0,159.0,11.0,"December 23, 2020"
FEDERAL PRISON IN LOMPOC,0,1038.0,1034.0,0.0,4.0,"December 23, 2020"
CITY OF SANTA MARIA,46,5796.0,5351.0,366.0,79.0,"December 23, 2020"
COMMUNITY OF ORCUTT,11,752.0,663.0,81.0,8.0,"December 23, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",5,641.0,591.0,42.0,8.0,"December 23, 2020"
Out of County,,,,,,"December 23, 2020"
Pending,37,679.0,560.0,119.0,0.0,"December 23, 2020"
Total** ,221,15417.0,13979.0,1287.0,151.0,"December 23, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",6,425.0,384.0,34.0,7.0,"December 22, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,56,2298.0,2038.0,245.0,15.0,"December 22, 2020"
CITY OF GOLETA,16,601.0,514.0,81.0,6.0,"December 22, 2020"
COMMUNITY OF ISLA VISTA,5,628.0,598.0,29.0,1.0,"December 22, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,11,442.0,379.0,60.0,3.0,"December 22, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",7,360.0,307.0,45.0,8.0,"December 22, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,25,1636.0,1467.0,158.0,11.0,"December 22, 2020"
FEDERAL PRISON IN LOMPOC,0,1038.0,1034.0,0.0,4.0,"December 22, 2020"
CITY OF SANTA MARIA,81,5751.0,5298.0,374.0,79.0,"December 22, 2020"
COMMUNITY OF ORCUTT,27,741.0,651.0,82.0,8.0,"December 22, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",13,636.0,584.0,44.0,8.0,"December 22, 2020"
Out of County,,,,,,"December 22, 2020"
Pending,17,642.0,549.0,93.0,0.0,"December 22, 2020"
Total** ,264,15198.0,13803.0,1245.0,150.0,"December 22, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",2,419.0,379.0,33.0,7.0,"December 21, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,39,2242.0,2006.0,221.0,15.0,"December 21, 2020"
CITY OF GOLETA,17,585.0,499.0,80.0,6.0,"December 21, 2020"
COMMUNITY OF ISLA VISTA,0,623.0,596.0,26.0,1.0,"December 21, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,8,431.0,369.0,59.0,3.0,"December 21, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",10,353.0,303.0,42.0,8.0,"December 21, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,38,1611.0,1455.0,145.0,11.0,"December 21, 2020"
FEDERAL PRISON IN LOMPOC,0,1038.0,1034.0,0.0,4.0,"December 21, 2020"
CITY OF SANTA MARIA,54,5671.0,5270.0,323.0,78.0,"December 21, 2020"
COMMUNITY OF ORCUTT,13,714.0,648.0,58.0,8.0,"December 21, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",4,623.0,581.0,35.0,7.0,"December 21, 2020"
Out of County,,,,,,"December 21, 2020"
Pending,14,625.0,538.0,87.0,0.0,"December 21, 2020"
Total** ,199,14935.0,13678.0,1109.0,148.0,"December 21, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",18,417.0,372.0,38.0,7.0,"December 20, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,51,2203.0,1969.0,219.0,15.0,"December 20, 2020"
CITY OF GOLETA,18,568.0,484.0,78.0,6.0,"December 20, 2020"
COMMUNITY OF ISLA VISTA,17,623.0,590.0,32.0,1.0,"December 20, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,21,423.0,366.0,54.0,3.0,"December 20, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",17,343.0,297.0,39.0,7.0,"December 20, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,30,1573.0,1433.0,129.0,11.0,"December 20, 2020"
FEDERAL PRISON IN LOMPOC,0,1038.0,1034.0,0.0,4.0,"December 20, 2020"
CITY OF SANTA MARIA,116,5619.0,5203.0,338.0,78.0,"December 20, 2020"
COMMUNITY OF ORCUTT,21,701.0,640.0,53.0,8.0,"December 20, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",12,619.0,574.0,38.0,7.0,"December 20, 2020"
Out of County,,,,,,"December 20, 2020"
Pending,29,611.0,524.0,87.0,0.0,"December 20, 2020"
Total** ,350,14738.0,13486.0,1105.0,147.0,"December 20, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,399.0,362.0,30.0,7.0,"December 19, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,1,2152.0,1932.0,205.0,15.0,"December 19, 2020"
CITY OF GOLETA,2,550.0,466.0,78.0,6.0,"December 19, 2020"
COMMUNITY OF ISLA VISTA,1,606.0,581.0,24.0,1.0,"December 19, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,0,402.0,362.0,37.0,3.0,"December 19, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,326.0,296.0,23.0,7.0,"December 19, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,2,1543.0,1415.0,117.0,11.0,"December 19, 2020"
FEDERAL PRISON IN LOMPOC,0,1038.0,1032.0,2.0,4.0,"December 19, 2020"
CITY OF SANTA MARIA,6,5505.0,5164.0,263.0,78.0,"December 19, 2020"
COMMUNITY OF ORCUTT,0,680.0,631.0,41.0,8.0,"December 19, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",1,607.0,568.0,32.0,7.0,"December 19, 2020"
Out of County,,,0.0,0.0,0.0,"December 19, 2020"
Pending,2,583.0,515.0,68.0,0.0,"December 19, 2020"
Total** ,16,14391.0,13324.0,920.0,147.0,"December 19, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",3,398.0,355.0,36.0,7.0,"December 18, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,49,2151.0,1882.0,254.0,15.0,"December 18, 2020"
CITY OF GOLETA,20,548.0,458.0,84.0,6.0,"December 18, 2020"
COMMUNITY OF ISLA VISTA,2,605.0,578.0,26.0,1.0,"December 18, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,8,402.0,360.0,39.0,3.0,"December 18, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",7,326.0,288.0,31.0,7.0,"December 18, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,25,1541.0,1390.0,140.0,11.0,"December 18, 2020"
FEDERAL PRISON IN LOMPOC,0,1038.0,1032.0,2.0,4.0,"December 18, 2020"
CITY OF SANTA MARIA,50,5499.0,5096.0,325.0,78.0,"December 18, 2020"
COMMUNITY OF ORCUTT,5,680.0,620.0,52.0,8.0,"December 18, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",2,606.0,562.0,37.0,7.0,"December 18, 2020"
Out of County,,,0.0,0.0,0.0,"December 18, 2020"
Pending,15,582.0,510.0,72.0,,"December 18, 2020"
Total** ,186,14376.0,13131.0,1098.0,147.0,"December 18, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",12,394.0,344.0,43.0,7.0,"December 17, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,47,2100.0,1840.0,245.0,15.0,"December 17, 2020"
CITY OF GOLETA,19,528.0,442.0,80.0,6.0,"December 17, 2020"
COMMUNITY OF ISLA VISTA,8,599.0,566.0,32.0,1.0,"December 17, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,16,392.0,350.0,39.0,3.0,"December 17, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",6,319.0,284.0,28.0,7.0,"December 17, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,23,1512.0,1369.0,133.0,10.0,"December 17, 2020"
FEDERAL PRISON IN LOMPOC,0,1038.0,1027.0,7.0,4.0,"December 17, 2020"
CITY OF SANTA MARIA,65,5441.0,5023.0,341.0,77.0,"December 17, 2020"
COMMUNITY OF ORCUTT,11,674.0,610.0,56.0,8.0,"December 17, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",11,604.0,560.0,37.0,7.0,"December 17, 2020"
Out of County,,,0.0,0.0,0.0,"December 17, 2020"
Pending,16,589.0,510.0,79.0,,"December 17, 2020"
Total** ,234,14190.0,12925.0,1120.0,145.0,"December 17, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",4,383.0,336.0,40.0,7.0,"December 16, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,30,2053.0,1798.0,240.0,15.0,"December 16, 2020"
CITY OF GOLETA,6,509.0,430.0,73.0,6.0,"December 16, 2020"
COMMUNITY OF ISLA VISTA,5,591.0,558.0,32.0,1.0,"December 16, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,2,376.0,342.0,31.0,3.0,"December 16, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",8,313.0,280.0,26.0,7.0,"December 16, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,35,1489.0,1339.0,140.0,10.0,"December 16, 2020"
FEDERAL PRISON IN LOMPOC,0,1038.0,1027.0,7.0,4.0,"December 16, 2020"
CITY OF SANTA MARIA,64,5376.0,4934.0,365.0,77.0,"December 16, 2020"
COMMUNITY OF ORCUTT,15,663.0,595.0,60.0,8.0,"December 16, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",8,593.0,544.0,42.0,7.0,"December 16, 2020"
Out of County,,,0.0,0.0,0.0,"December 16, 2020"
Pending,19,573.0,493.0,80.0,,"December 16, 2020"
Total** ,196,13957.0,12676.0,1136.0,145.0,"December 16, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",5,379.0,331.0,41.0,7.0,"December 15, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,41,2023.0,1780.0,228.0,15.0,"December 15, 2020"
CITY OF GOLETA,20,504.0,429.0,70.0,5.0,"December 15, 2020"
COMMUNITY OF ISLA VISTA,3,586.0,557.0,28.0,1.0,"December 15, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,5,374.0,335.0,36.0,3.0,"December 15, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",5,305.0,275.0,23.0,7.0,"December 15, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,21,1454.0,1318.0,126.0,10.0,"December 15, 2020"
FEDERAL PRISON IN LOMPOC,0,1038.0,1028.0,7.0,3.0,"December 15, 2020"
CITY OF SANTA MARIA,71,5312.0,4898.0,338.0,76.0,"December 15, 2020"
COMMUNITY OF ORCUTT,12,648.0,584.0,56.0,8.0,"December 15, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",12,585.0,540.0,38.0,7.0,"December 15, 2020"
Out of County,,,0.0,0.0,0.0,"December 15, 2020"
Pending,12,555.0,487.0,68.0,,"December 15, 2020"
Total** ,207,13763.0,12562.0,1059.0,142.0,"December 15, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",16,374.0,325.0,42.0,7.0,"December 14, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,68,1980.0,1763.0,202.0,15.0,"December 14, 2020"
CITY OF GOLETA,19,484.0,423.0,56.0,5.0,"December 14, 2020"
COMMUNITY OF ISLA VISTA,14,583.0,556.0,26.0,1.0,"December 14, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,7,369.0,328.0,38.0,3.0,"December 14, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",6,300.0,272.0,21.0,7.0,"December 14, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,35,1433.0,1301.0,123.0,9.0,"December 14, 2020"
FEDERAL PRISON IN LOMPOC,7,1038.0,1028.0,7.0,3.0,"December 14, 2020"
CITY OF SANTA MARIA,136,5240.0,4881.0,284.0,75.0,"December 14, 2020"
COMMUNITY OF ORCUTT,19,636.0,579.0,49.0,8.0,"December 14, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",10,573.0,537.0,29.0,7.0,"December 14, 2020"
Out of County,,,0.0,0.0,0.0,"December 14, 2020"
Pending,23,547.0,484.0,63.0,,"December 14, 2020"
Total** ,360,13557.0,12477.0,940.0,140.0,"December 14, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",3,358.0,320.0,31.0,7.0,"December 13, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,39,1912.0,1743.0,154.0,15.0,"December 13, 2020"
CITY OF GOLETA,19,465.0,422.0,38.0,5.0,"December 13, 2020"
COMMUNITY OF ISLA VISTA,1,569.0,556.0,12.0,1.0,"December 13, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,4,362.0,325.0,34.0,3.0,"December 13, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",1,294.0,265.0,22.0,7.0,"December 13, 2020"
